name,url,price,rating
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_122?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414573&sr=8-122,900,3.9
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzMzMzg4MTY1MDYzOTI5OjE2Nzk0MTQ1NzM6c3BfbXRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_123_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414573%26sr%3D8-123-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"1,800",4.9
EUME Virgo 29L Laptop Backpack for Office & Travel | Water Resistance | Fit Up to 15.6-inch Laptop,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzMzMzg4MTY1MDYzOTI5OjE2Nzk0MTQ1NzM6c3BfbXRmOjIwMTE0NDE0MjI5Njk4OjowOjo&url=%2FEUME-Virgo-29Ltr-Laptop-Backpack%2Fdp%2FB08R563J3T%2Fref%3Dsr_1_124_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26prefix%3Dba%252Caps%252C283%26qid%3D1679414573%26sr%3D8-124-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"1,549",4.1
"Arctic Hunter Mens Sling Bag Small Chest Bag Shoulder Bag Mobile Bag Side Bag for Men with Earphone Port Water Resistant for Everyday Use Small Items and Small Electronic Product,Black",https://www.amazon.in/Resistant-Outdoor-Shoulder-Unbalance-Earphone/dp/B07TT785P7/ref=sr_1_125?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414573&sr=8-125,"1,139",4.2
"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8/ref=sr_1_126?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414573&sr=8-126,664,4.4
"Wooum Gym Bag Sport Outdoor Bag, Shoulder Bag Side Bag with Separate Shoes Compartment Water Resistance - Dark Grey",https://www.amazon.in/Resistant-Duffle-Shoulder-Separate-Compartment/dp/B09KVBSG61/ref=sr_1_127?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414573&sr=8-127,397.,4.2
ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTT2HZY/ref=sr_1_128?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414573&sr=8-128,599,4.0
Mi Business Casual 21L Water Resistant Laptop Backpack (Blue),https://www.amazon.in/Business-Casual-Resistant-Laptop-Backpack/dp/B0862V2GKH/ref=sr_1_129?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414573&sr=8-129,999,4.4
"Medela Breastmilk Storage Bags,White, 25 Pieces",https://www.amazon.in/Medela-Breastmilk-Storage-Bags-Pieces/dp/B075R5R1LR/ref=sr_1_130?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414573&sr=8-130,840,4.7
LL LEATHER LAND DESIGNER BAGS Women Sling Bag,https://www.amazon.in/LL-LEATHER-LAND-DESIGNER-BAGS/dp/B0BD4TTDHD/ref=sr_1_131?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414573&sr=8-131,299,4.0
"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_132?crid=2M096C61O4MLT&keywords=bags&prefix=ba%2Caps%2C283&qid=1679414573&sr=8-132,249,4.1
