200 ['374', '2424978', '1131427', 'fr']
200 ['375', '165', '1132814', 'de']
200 ['376', '2424979', '1132814', 'fr']
200 ['377', '166', '1133705', 'de']
200 ['378', '2424980', '1133705', 'fr']
200 ['379', '167', '1137727', 'de']
200 ['380', '2424981', '1137727', 'fr']
200 ['381', '168', '1137999', 'de']
200 ['382', '2424982', '1137999', 'fr']
200 ['383', '169', '1138235', 'de']
200 ['384', '2424983', '1138235', 'fr']
200 ['385', '170', '1139371', 'de']
200 ['386', '2424984', '1139371', 'fr']
200 ['387', '171', '1139398', 'de']
200 ['388', '2424985', '1139398', 'fr']
200 ['389', '2424986', '1140795', 'fr']
404 ['390', '4980681', '1140795', 'it']
200 ['391', '172', '1141341', 'de']
200 ['392', '7536534', '1141341', 'es']
200 ['393', '2424987', '1141341', 'fr']
200 ['394', '173', '1144553', 'de']
200 ['395', '2424988', '1144553', 'fr']
200 ['396', '174', '1144634', 'de']
200 ['397', '2424989', '1144634', 'fr']
200 ['398', '175', '1144685', 'de']
200 ['399', '2424990', '1144685', 'fr']
200 ['400', '176', '1145452', 'de']
200 ['401', '2424991', '1145452', 'fr']
200 ['402', '177', '1147102', 'de']
200 ['403', '2424992', '1147102', 'fr']
200 ['404', '178', '1148516', 'de']
200 ['405', '2424993', '1148516', 'fr']
200 ['406', '179', '1149458', 'de']
200 ['407', '2424994', '1149458', 'fr']
200 ['408', '180', '1150251', 'de']
200 ['409', '2424995', '1150251', 'fr']
200 ['410', '181', '1150456', 'de']
200 ['411', '2424996', '1150456', 'fr']
200 ['412', '2424997', '1151827', 'fr']
200 ['414', '182', '1152661', 'de']
404 ['413', '4980682', '1151827', 'it']
200 ['415', '2424998', '1152661', 'fr']
200 ['416', '183', '1153226', 'de']
200 ['417', '2424999', '1153226', 'fr']
404 ['418', '184', '1153234', 'de']
200 ['419', '2425000', '1153234', 'fr']
200 ['420', '185', '1154036', 'de']
200 ['421', '2425001', '1154036', 'fr']
200 ['422', '186', '000115687X', 'de']
200 ['423', '2425002', '000115687X', 'fr']
200 ['424', '187', '1157078', 'de']
200 ['425', '2425003', '1157078', 'fr']
200 ['426', '2425004', '1157981', 'fr']
404 ['427', '4980683', '1157981', 'it']
200 ['428', '188', '1168061', 'de']
200 ['429', '2425005', '1168061', 'fr']
200 ['430', '189', '1168266', 'de']
200 ['431', '2425006', '1168266', 'fr']
200 ['432', '190', '1170481', 'de']
200 ['433', '2425007', '1170481', 'fr']
200 ['434', '191', '1171135', 'de']
200 ['435', '2425008', '1171135', 'fr']
200 ['436', '192', '1171550', 'de']
200 ['437', '2425009', '1171550', 'fr']
200 ['438', '193', '1172093', 'de']
200 ['439', '2425010', '1172093', 'fr']
200 ['441', '2425011', '1172484', 'fr']
200 ['440', '194', '1172484', 'de']
200 ['442', '195', '1177737', 'de']
200 ['443', '2425012', '1177737', 'fr']
200 ['444', '196', '1178490', 'de']
200 ['445', '2425013', '1178490', 'fr']
200 ['446', '197', '1189662', 'de']
200 ['447', '2425014', '1189662', 'fr']
200 ['448', '198', '1190903', 'de']
200 ['449', '2425015', '1190903', 'fr']
200 ['450', '199', '1193287', 'de']
200 ['451', '2425016', '1193287', 'fr']
200 ['452', '200', '1195883', 'de']
200 ['453', '2425017', '1195883', 'fr']
200 ['454', '201', '1199013', 'de']
200 ['455', '2425018', '1199013', 'fr']
200 ['456', '202', '1200534', 'de']
200 ['457', '2425019', '1200534', 'fr']
200 ['458', '203', '1201344', 'de']
200 ['459', '2425020', '1201344', 'fr']
200 ['460', '204', '1202405', 'de']
200 ['461', '2425021', '1202405', 'fr']
200 ['462', '205', '1203231', 'de']
200 ['464', '206', '2000970', 'de']
200 ['463', '2425022', '1203231', 'fr']
200 ['465', '2425023', '2000970', 'fr']
200 ['466', '207', '4130251', 'de']
200 ['467', '2425024', '4130251', 'fr']
200 ['468', '208', '4132505', 'de']
200 ['469', '2425025', '4132505', 'fr']
200 ['471', '2425026', '4160177', 'fr']
200 ['470', '209', '4160177', 'de']
200 ['472', '210', '4160266', 'de']
200 ['473', '2425027', '4160266', 'fr']
200 ['474', '211', '4160398', 'de']
200 ['475', '2425028', '4160398', 'fr']
200 ['476', '212', '4160401', 'de']
200 ['477', '2425029', '4160401', 'fr']
200 ['478', '213', '000416041X', 'de']
200 ['479', '2425030', '000416041X', 'fr']
200 ['480', '214', '4160592', 'de']
200 ['481', '2425031', '4160592', 'fr']
200 ['482', '215', '4160665', 'de']
200 ['483', '2425032', '4160665', 'fr']
200 ['484', '216', '4160673', 'de']
200 ['485', '2425033', '4160673', 'fr']
200 ['486', '217', '4160800', 'de']
200 ['487', '2425034', '4160800', 'fr']
200 ['488', '218', '4160886', 'de']
200 ['489', '2425035', '4160886', 'fr']
200 ['490', '219', '4161041', 'de']
200 ['491', '2425036', '4161041', 'fr']
200 ['492', '220', '000416105X', 'de']
200 ['493', '2425037', '000416105X', 'fr']
200 ['494', '221', '4161114', 'de']
200 ['495', '2425038', '4161114', 'fr']
200 ['496', '222', '4161130', 'de']
200 ['497', '2425039', '4161130', 'fr']
200 ['498', '223', '4161149', 'de']
200 ['499', '2425040', '4161149', 'fr']
200 ['500', '224', '4161262', 'de']
200 ['501', '2425041', '4161262', 'fr']
200 ['502', '225', '4161475', 'de']
404 ['503', '2425042', '4161475', 'fr']
